website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Ni (ppm),"Ni, NiO",element,81788,6236,0,75552,7.62,0,92.38
Ni-carb (ppm),Ni-carb,carbonate_proxy,438,0,0,438,0,0,100
Nontronite (wt%),Nontronite,mineralogy_composition,3,0,0,3,0,0,100
Orthoclase (wt%),Orthoclase,mineralogy_composition,813,0,0,813,0,0,100
Os (ppt),Os,element,4140,3844,0,296,92.85,0,7.15
Os187/Os188,Os187_Os188,metal_isotope,249,0,0,249,0,0,100
Osi,Os187_Os188(I),metal_isotope,219,0,0,219,0,0,100
P (ppm),"P, P2O5",nitrogen_phosphorous,102793,16492,412,85889,16.04,0.4,83.56
P-auth(seq) (ppm),P-auth(seq),nitrogen_phosphorous,693,0,0,693,0,0,100
P-carb (ppm),P-carb,carbonate_proxy,482,0,0,482,0,0,100
P-det(seq) (ppm),P-det(seq),nitrogen_phosphorous,692,0,0,692,0,0,100
P-Fe1(seq) (ppm),P-Fe1(seq),nitrogen_phosphorous,524,0,0,524,0,0,100
P-Fe2(seq) (ppm),P-Fe2(seq),nitrogen_phosphorous,364,0,0,364,0,0,100
P-inorg (ppm),P-inorg,nitrogen_phosphorous,38,0,0,38,0,0,100
P-mag(seq) (ppm),P-mag(seq),nitrogen_phosphorous,362,0,0,362,0,0,100
P-org(seq) (ppm),P-org(seq),nitrogen_phosphorous,669,0,0,669,0,0,100
Pb (ppm),Pb,element,71118,11434,17,59667,16.08,0.02,83.9
Pb-carb (ppm),Pb-carb,carbonate_proxy,321,30,0,291,9.35,0,90.65
Pd (ppb),Pd,element,19725,18502,0,1223,93.8,0,6.2
Plagioclase (wt%),Plagioclase,mineralogy_composition,547,0,0,547,0,0,100
Pr (ppm),Pr,element,28379,9394,7,18978,33.1,0.02,66.87
Pr-carb (ppm),Pr-carb,carbonate_proxy,941,0,0,941,0,0,100
Pt (ppb),Pt,element,17890,16749,0,1141,93.62,0,6.38
Pyrite (wt%),Pyrite,mineralogy_composition,2268,64,0,2204,2.82,0,97.18
Pyrrhotite (wt%),Pyrrhotite,mineralogy_composition,24,0,0,24,0,0,100
Quartz (w/christobalite) (wt%),Quartz_Christobalite,mineralogy_composition,110,0,0,110,0,0,100
Quartz (wt%),Quartz,mineralogy_composition,2808,19,0,2789,0.68,0,99.32
Rb (ppm),Rb,element,41655,1201,9,40445,2.88,0.02,97.1
Rb-carb (ppm),Rb-carb,carbonate_proxy,552,0,0,552,0,0,100
Re (ppm),Re,element,29724,20736,0,8988,69.76,0,30.24
Re-carb (ppm),Re-carb,carbonate_proxy,552,310,0,242,56.16,0,43.84
Re187/Os188,Re187_Os188,metal_isotope,249,0,0,249,0,0,100
REE (ppm),REE,element,4831,0,0,4831,0,0,100
REE-carb (ppm),REE-carb,carbonate_proxy,69,0,0,69,0,0,100
REY (ppm),REY,element,4907,0,0,4907,0,0,100
REY-carb (ppm),REY-carb,carbonate_proxy,60,0,0,60,0,0,100
Rhodochrosite (wt%),Rhodochrosite,mineralogy_composition,16,0,0,16,0,0,100
Rutile (wt%),Rutile,mineralogy_composition,21,0,0,21,0,0,100
S (wt%),S,iron_sulfur,46210,3175,51,42984,6.87,0.11,93.02
S-org (wt%),S_ORG,iron_sulfur,19,5,0,14,26.32,0,73.68
S-py (wt%),S_PY,iron_sulfur,2940,6,0,2934,0.2,0,99.8
S-SO4 (wt%),S_SO4,iron_sulfur,822,209,0,613,25.43,0,74.57
S1 (mgHC/g),S1,carbon,8470,32,0,8438,0.38,0,99.62
S2 (mgHC/g),S2,carbon,8552,87,0,8465,1.02,0,98.98
S3 (mgCO2/g),S3,carbon,8440,35,0,8405,0.41,0,99.59
Sanidine (wt%),Sanidine,mineralogy_composition,8,0,0,8,0,0,100
Sb (ppm),Sb,element,48645,20704,3,27938,42.56,0.01,57.43
Sb-carb (ppm),Sb-carb,carbonate_proxy,299,280,0,19,93.65,0,6.35
Sc (ppm),Sc,element,65307,11173,0,54134,17.11,0,82.89
Sc-carb (ppm),Sc-carb,carbonate_proxy,369,0,0,369,0,0,100
Se (ppm),Se,element,30860,9526,10,21324,30.87,0.03,69.1
Se-carb (ppm),Se-carb,carbonate_proxy,299,91,0,208,30.43,0,69.57
Si (wt%),"Si, SiO2",element,66268,350,6970,58948,0.53,10.52,88.95
Siderite (wt%),Siderite,mineralogy_composition,560,25,0,535,4.46,0,95.54
Sm (ppm),Sm,element,31280,9594,6,21680,30.67,0.02,69.31
Sm-carb (ppm),Sm-carb,carbonate_proxy,941,1,0,940,0.11,0,99.89
Sm147/Nd144,Sm147_Nd144,metal_isotope,125,0,0,125,0,0,100
Smectite (wt%),Smectite,mineralogy_composition,211,0,0,211,0,0,100
Sn (ppm),Sn,element,55103,30563,6,24534,55.47,0.01,44.52
Sn-carb (ppm),Sn-carb,carbonate_proxy,313,0,0,313,0,0,100
Sphalerite (wt%),Sphalerite,mineralogy_composition,9,0,0,9,0,0,100
Sr (ppm),"Sr, SrO",element,78765,915,23,77827,1.16,0.03,98.81
Sr-carb (ppm),Sr-carb,carbonate_proxy,2285,1,0,2284,0.04,0,99.96
Sr87/Sr86,Sr87_Sr86,metal_isotope,326,0,0,326,0,0,100
Sum (wt%),Sum,mineralogy_composition,13833,15,0,13818,0.11,0,99.89
Ta (ppm),Ta,element,52881,27171,0,25710,51.38,0,48.62
Ta-carb (ppm),Ta-carb,carbonate_proxy,299,299,0,0,100,0,0
Talc (wt%),Talc,mineralogy_composition,244,13,0,231,5.33,0,94.67
Tb (ppm),Tb,element,27491,7546,0,19945,27.45,0,72.55
Tb-carb (ppm),Tb-carb,carbonate_proxy,811,1,0,810,0.12,0,99.88
Te (ppm),Te,element,28303,18708,0,9595,66.1,0,33.9
Th (ppm),Th,element,73907,21943,1,51963,29.69,0,70.31
Th-carb (ppm),Th-carb,carbonate_proxy,912,0,0,912,0,0,100
Ti (wt%),"Ti, TiO2",element,101098,2584,7,98507,2.56,0.01,97.44
Ti-carb (wt%),Ti-carb,carbonate_proxy,531,0,0,531,0,0,100
TIC (wt%),TIC,carbon,16591,1782,0,14809,10.74,0,89.26
Tl (ppm),Tl,element,41144,19620,0,21524,47.69,0,52.31
Tl-auth (ppm),Tl-auth,element,462,0,0,462,0,0,100
Tl-carb (ppm),Tl-carb,carbonate_proxy,365,75,0,290,20.55,0,79.45
Tm (ppm),Tm,element,19413,5010,0,14403,25.81,0,74.19
Tm-carb (ppm),Tm-carb,carbonate_proxy,875,2,0,873,0.23,0,99.77
Tmax (degC),Tmax,carbon,8442,1,11,8430,0.01,0.13,99.86
TOC (wt%),TOC,carbon,50243,990,2,49251,1.97,0,98.03
Total Carbon (wt%),C,carbon,25095,424,0,24671,1.69,0,98.31
Total_Carbonate (wt%),Total_Carbonate,mineralogy_composition,119,0,0,119,0,0,100
Total_Clay (wt%),Total_Clay,mineralogy_composition,476,0,0,476,0,0,100
Total_NonClay (wt%),Total_NonClay,mineralogy_composition,24,0,0,24,0,0,100
U (ppm),U,element,82176,22024,12,60140,26.8,0.01,73.18
U-carb (ppm),U-carb,carbonate_proxy,1216,78,0,1138,6.41,0,93.59
V (ppm),"V, V2O5",element,83230,1936,97,81197,2.33,0.12,97.56
V-auth (ppm),V-auth,element,18,0,0,18,0,0,100
V-carb (ppm),V-carb,carbonate_proxy,842,0,0,842,0,0,100
W (ppm),W,element,45041,22929,222,21890,50.91,0.49,48.6
W-carb (ppm),W-carb,carbonate_proxy,299,0,0,299,0,0,100
Y (ppm),Y,element,66433,5243,2,61188,7.89,0,92.1
Y-carb (ppm),Y-carb,carbonate_proxy,858,0,0,858,0,0,100
Yb (ppm),Yb,element,44421,7356,6,37059,16.56,0.01,83.43
Yb-carb (ppm),Yb-carb,carbonate_proxy,875,1,0,874,0.11,0,99.89
Zn (ppm),Zn,element,77477,13149,88,64240,16.97,0.11,82.91
Zn-carb (ppm),Zn-carb,carbonate_proxy,365,0,0,365,0,0,100
Zr (ppm),Zr,element,61819,2167,10,59642,3.51,0.02,96.48
Zr-carb (ppm),Zr-carb,carbonate_proxy,313,293,0,20,93.61,0,6.39
δ114Cd-carb (‰),DELTA_Cd114_CARB,metal_isotope,13,0,0,13,0,0,100
Δ13C (‰),CAP_DELTA_C13,carbonate_proxy,1151,0,0,1151,0,0,100
δ13C-carb (‰),DELTA_C13_CARB,carbonate_proxy,12081,0,0,12081,0,0,100
δ13C-org (‰),DELTA_C13_ORG,carbon,13589,0,0,13589,0,0,100
δ15N (‰),DELTA_N15,nitrogen_phosphorous,3674,0,0,3674,0,0,100
δ15N-ker (‰),DELTA_N15_KER,nitrogen_phosphorous,403,0,0,403,0,0,100
δ18O-carb (‰),DELTA_O18_CARB,carbonate_proxy,11229,0,0,11229,0,0,100
δ238U (‰),DELTA_U238,metal_isotope,400,0,0,400,0,0,100
δ238U-auth (‰),DELTA_U238_AUTH,metal_isotope,169,0,0,169,0,0,100
δ238U-carb (‰),DELTA_U238_CARB,metal_isotope,972,0,0,972,0,0,100
δ26Mg-carb (‰),DELTA_Mg26_CARB,metal_isotope,484,0,0,484,0,0,100
δ34S-bulk (‰),DELTA_S34,iron_sulfur,885,0,0,885,0,0,100
δ34S-cas (‰),DELTA_S34_CAS,iron_sulfur,616,0,0,616,0,0,100
