batch_id,lab_batch_id,institution_name,batch_notes,num_sample,num_results,analytes
624,NULL,NULL,"CMIBS data, results from Fedikow_1998",35948,22704,"Ag, Al, As, Au, Ba, Be, Bi, Br, Ca, Cd, Ce, Co, Cr, Cs, Cu, Eu, Fe, Hf, Hg, Ir, K, La, Lu, Mg, Mn, Mo, Na, Nd, Ni, P, Pb, Rb, Sb, Sc, Se, Sm, Sn, Sr, Ta, Tb, Th, Ti, U, V, W, Y, Yb, Zn"
625,NULL,NULL,"CMIBS data, results from Fedo_1996",920,780,"Al, Al2O3, Ba, Ca, CaO, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, K, K2O, LOI, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Rb, Sc, Si, SiO2, Sm, Sr, Th, Ti, TiO2, V, Y, Yb, Zn, Zr"
626,NULL,NULL,"CMIBS data, results from Fedo_1997_1",625,525,"Al, Al2O3, Ca, CaO, Fe, Fe2O3, K, K2O, LOI, Mg, MgO, Mn, MnO, Na, Na2O, P, P2O5, Si, SiO2, Ti, TiO2"
627,NULL,NULL,"CMIBS data, results from Fedo_1997_2",1980,1465,"Al, Al2O3, Ba, Ca, CaO, Ce, Co, Cr, Cu, Eu, Fe, Fe2O3, Ga, Gd, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Rb, Sc, Si, SiO2, Sm, Sr, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
628,NULL,NULL,"CMIBS data, results from Feng_1990",3481,2583,"Al, Al2O3, As, Au, Ba, Ca, CaO, Ce, Co, Cr, Cs, Cu, Eu, Fe, Fe2O3, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Rb, Sb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
629,NULL,NULL,"CMIBS data, results from Ferri_2005",6164,2618,"Ag, Al, As, Au, B, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cu, Fe, Ga, Hf, Hg, K, La, Li, Mg, Mn, Mo, Na, Nb, Ni, P, Pb, Rb, S, Sb, Sc, Se, Sn, Sr, TOC, Ta, Th, Ti, Tl, U, V, W, Y, Zn, Zr"
630,NULL,NULL,"CMIBS data, results from Fralick_1997",1200,824,"Al, Al2O3, Ba, C, CTO2, Ca, CaO, Co, Cr, Cu, Fe, Fe2O3, K, K2O, LOI, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Ni, P, P2O5, Pb, Rb, S, Se, Si, SiO2, Sr, Ti, TiO2, V, Y, Zn, Zr"
631,NULL,NULL,"CMIBS data, results from Fritz_1992",297,270,"Al, Al2O3, Ba, Ca, CaO, Cr, Fe, Fe2O3, K, K2O, LOI, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Ni, P, P2O5, Rb, Si, SiO2, Sr, Ti, TiO2, V, Y, Zr"
633,NULL,NULL,"CMIBS data, results from Frost_1985",122304,25560,"Ag, Al, Al2O3, As, B, Ba, Be, Br, C, CO2, Ca, CaO, Ce, Cl, Co, Cr, Cs, Cu, Dy, Eu, F, Fe, FeO, Ga, Ge, H, H2O_m, H2O_p, Hf, K, K2O, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Ni, P, P2O5, Pb, Rb, S, SO4, S_PY, Sb, Sc, Se, Si, SiO2, Sm, Sn, Sr, TOC, Ta, Tb, Th, Ti, TiO2, U, V, W, Yb, Zn, Zr"
634,NULL,NULL,"CMIBS data, results from Fyffe_1993",1710,1429,"Al, Al2O3, As, Ba, Ca, CaO, Ce, Co, Cr, Cu, Eu, Fe, Fe2O3, Ga, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Rb, Sb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
635,NULL,NULL,"CMIBS data, results from Gavshin_1996",3213,507,"Ag, Al, Al2O3, As, Au, Ba, Be, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Eu, Fe, Fe2O3, Hf, Hg, Insol, K, K2O, La, Li, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Ni, P, P2O5, Pb, Rb, S, S1, S2, S3, Sb, Sc, Si, SiO2, Sm, Sr, TOC, Ta, Tb, Th, Ti, TiO2, Tmax, U, V, Y, Yb, Zn, Zr"
636,NULL,NULL,"CMIBS data, results from Gibbs_1986",588,565,"Al, Ba, Ca, Ce, Co, Cr, Eu, Fe, Hf, K, LOI, La, Lu, Mg, Mn, Na, Nd, Ni, Sc, Si, Sm, Ta, Tb, Th, Ti, U, Yb"
