"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
1959,NULL,NULL,"DM-SED compiled data from Williams, 2014 (reference_id: 781).","6466","6117","Al, Ba, C, Ca, Ce, Co, Cr, Cs, Cu, DELTA_C13_ORG, DELTA_N15, DELTA_S34_PY, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Mo, N, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, S, Sc, Si, Sm, Sr, TIC, TOC, Ta, Tb, Th, Ti, Tm, U, V, Y, Yb, Zn, Zr"
1960,NULL,NULL,"DM-SED compiled data from Alibert & McCulloch, 1993 (reference_id: 668).","270","246","Al, As, B, Ca, Fe, K, Mg, Mn, Mo, Na, Ni, P, S, Si, TOC, Ti, V, Zn"
1961,NULL,NULL,"DM-SED compiled data from Racka et al. 2010 (reference_id: 746).","405","395","Al, As, Ba, Ca, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, S, Sb, Si, Sr, TOC, Th, Ti, U, V, Zn, Zr"
1962,NULL,NULL,"DM-SED compiled data from Dong, 2016 (reference_id: 767).","3340","3340","Al, Ca, Fe, K, Mg, Mn, Na, P, Si, Ti"
1963,NULL,NULL,"DM-SED compiled data from Williams et al. 2012 (reference_id: 677).","1080","1078","Al, Ba, Ca, Ce, Co, Cr, Dy, Er, Eu, Fe, Gd, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pr, Rb, Sc, Si, Sm, Sr, TIC, TOC, Tb, Th, Ti, Tm, U, V, Y, Yb, Zr"
1964,NULL,NULL,"DM-SED compiled data from Baker, 1995 (reference_id: 772).","100","92","Al, P, TOC, U, V"
1965,NULL,NULL,"DM-SED compiled data from Madhavaraju et al. 2016 (reference_id: 752).","882","882","Al, Ba, Ca, Ce, Co, Cr, Cu, Dy, Er, Eu, Fe, Gd, Hf, Ho, K, La, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Sc, Si, Sm, Sr, Tb, Th, Ti, Tm, U, V, Y, Yb, Zn, Zr"
1966,NULL,NULL,"DM-SED compiled data from Pitcher, 2011 (reference_id: 784).","253","213","Al, Ca, Cd, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Rb, S, Se, Si, Sr, U, V, Zn, Zr"
1967,NULL,NULL,"DM-SED compiled data from Turner & Kamber, 2012 (reference_id: 721).","728","727","Ag, Al, As, Ba, Be, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Hf, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Sb, Sc, Si, Sm, Sn, Sr, TOC, Ta, Tb, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1968,NULL,NULL,"DM-SED compiled data from Klein & Beukes, 1993 (reference_id: 669).","234","230","Al, As, Ba, Br, Ca, Ce, Co, Cr, Cu, Eu, Fe, Hf, K, La, Lu, Mg, Mn, Na, Nb, Nd, Ni, P, Rb, Sb, Sc, Se, Si, Sm, Sr, TOC, Ta, Tb, Th, Ti, U, Y, Yb, Zn, Zr"
1969,NULL,NULL,"DM-SED compiled data from Saupé & Vegas, 1987 (reference_id: 743).","92","90","Al, Ba, Ca, Cr, Cu, Fe, K, Mg, Mn, Na, Ni, P, Pb, Rb, S, Si, Sr, TOC, Th, Ti, U, V, Zn"
