website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Sb (ppm),Sb,element,15354,1662,0,13692,10.82,0,89.18
Sb-carb (ppm),Sb-carb,carbonate_proxy,299,280,0,19,93.65,0,6.35
Sc (ppm),Sc,element,18522,810,0,17712,4.37,0,95.63
Sc-carb (ppm),Sc-carb,carbonate_proxy,369,0,0,369,0,0,100
Se (ppm),Se,element,11422,2729,0,8693,23.89,0,76.11
Se-carb (ppm),Se-carb,carbonate_proxy,299,91,0,208,30.43,0,69.57
Si (wt%),"Si, SiO2",element,12945,123,0,12822,0.95,0,99.05
Siderite (wt%),Siderite,mineralogy_composition,485,25,0,460,5.15,0,94.85
Sm (ppm),Sm,element,9337,70,6,9261,0.75,0.06,99.19
Sm-carb (ppm),Sm-carb,carbonate_proxy,941,1,0,940,0.11,0,99.89
Sm147/Nd144,Sm147_Nd144,metal_isotope,125,0,0,125,0,0,100
Smectite (wt%),Smectite,mineralogy_composition,208,0,0,208,0,0,100
Sn (ppm),Sn,element,15783,2456,6,13321,15.56,0.04,84.4
Sn-carb (ppm),Sn-carb,carbonate_proxy,313,0,0,313,0,0,100
Sphalerite (wt%),Sphalerite,mineralogy_composition,9,0,0,9,0,0,100
Sr (ppm),"Sr, SrO",element,22709,135,3,22571,0.59,0.01,99.39
Sr-carb (ppm),Sr-carb,carbonate_proxy,2285,1,0,2284,0.04,0,99.96
Sr87/Sr86,Sr87_Sr86,metal_isotope,326,0,0,326,0,0,100
Sum (wt%),Sum,mineralogy_composition,4611,15,0,4596,0.33,0,99.67
Ta (ppm),Ta,element,15269,915,0,14354,5.99,0,94.01
Ta-carb (ppm),Ta-carb,carbonate_proxy,299,299,0,0,100,0,0
Talc (wt%),Talc,mineralogy_composition,241,13,0,228,5.39,0,94.61
Tb (ppm),Tb,element,9062,111,0,8951,1.22,0,98.78
Tb-carb (ppm),Tb-carb,carbonate_proxy,811,1,0,810,0.12,0,99.88
Te (ppm),Te,element,9391,3879,0,5512,41.31,0,58.69
Th (ppm),Th,element,19415,153,1,19261,0.79,0.01,99.21
