"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PINKISH TAN;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PURPLE GREY;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PURPLE TAN.  SUPPOSED TO BE HIGH GRADE ORE;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PURPLISH DARK GREY;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PURPLISH GRAY TAN;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, PURPLISH GREY TAN;  ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, TAN"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, TAN GREY"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, TAN-GRAY;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, TAN;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE, W/QTZ VEINS & SPARSE MINERALIZATION;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE.  78-B-47A;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE;  massive; siliceous;"
"arkose",NULL,NULL,NULL,"arkose;ARKOSE?;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;BD1-1 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;BD1-4 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;BLW-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;BLW-24 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;BROWNISH YELLOW MED. GRAINED ARKOSE;  sandy; clastic;"
"arkose",NULL,NULL,NULL,"arkose;CC1-8 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CC2-4 ARKOSE;  ferruginous; arkosic;"
